Year,District,crime_type,Number,,,,,,
2017,all,HOMICIDE,56,,,,,,
2017,all,RAPE,447,,,,,,
2017,all,ROBBERY,"3,256",,,,,,
2017,all,ASSAULT,"2,693",,,,,,
2017,all,HUMAN TRAFFICKING – SEX ACT,40,,,,,,
2017,all,HUMAN TRAFFICKING – INV SERV,2,,,,,,
2017,all,BURGLARY,"5,121",,,,,,
2017,all,MOTOR VEHICLE THEFT,"4,955",,,,,,
2017,all,ARSON,257,,,,,,
2017,all,LARCENY THEFT,"46,724",,,,,,
2017,Bayview,HOMICIDE,11,,,,,,
2017,Bayview,RAPE,28,,,,,,
2017,Bayview,ROBBERY,314,,,,,,
2017,Bayview,ASSAULT,398,,,,,,
2017,Bayview,HUMAN TRAFFICKING – SEX ACT,521,,,,,,
2017,Bayview,HUMAN TRAFFICKING – INV SERV,763,,,,,,
2017,Bayview,BURGLARY,0,,,,,,
2017,Bayview,MOTOR VEHICLE THEFT,0,,,,,,
2017,Bayview,ARSON,77,,,,,,
2017,Bayview,LARCENY THEFT,"2,460",,,,,,
2017,Central,HOMICIDE,2,,,,,,
2017,Central,RAPE,35,,,,,,
2017,Central,ROBBERY,476,,,,,,
2017,Central,ASSAULT,253,,,,,,
2017,Central,HUMAN TRAFFICKING – SEX ACT,9,,,,,,
2017,Central,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Central,BURGLARY,663,,,,,,
2017,Central,MOTOR VEHICLE THEFT,415,,,,,,
2017,Central,ARSON,16,,,,,,
2017,Central,LARCENY THEFT,"9,008",,,,,,
2017,Ingleside,HOMICIDE,7,,,,,,
2017,Ingleside,RAPE,36,,,,,,
2017,Ingleside,ROBBERY,305,,,,,,
2017,Ingleside,ASSAULT,268,,,,,,
2017,Ingleside,HUMAN TRAFFICKING – SEX ACT,2,,,,,,
2017,Ingleside,HUMAN TRAFFICKING – INV SERV,1,,,,,,
2017,Ingleside,BURGLARY,464,,,,,,
2017,Ingleside,MOTOR VEHICLE THEFT,625,,,,,,
2017,Ingleside,ARSON,19,,,,,,
2017,Ingleside,LARCENY THEFT,"1,976",,,,,,
2017,Mission,HOMICIDE,12,,,,,,
2017,Mission,RAPE,126,,,,,,
2017,Mission,ROBBERY,634,,,,,,
2017,Mission,ASSAULT,541,,,,,,
2017,Mission,HUMAN TRAFFICKING – SEX ACT,7,,,,,,
2017,Mission,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Mission,BURGLARY,665,,,,,,
2017,Mission,MOTOR VEHICLE THEFT,754,,,,,,
2017,Mission,ARSON,36,,,,,,
2017,Mission,LARCENY THEFT,"4,973",,,,,,
2017,Northern,HOMICIDE,5,,,,,,
2017,Northern,RAPE,42,,,,,,
2017,Northern,ROBBERY,339,,,,,,
2017,Northern,ASSAULT,241,,,,,,
2017,Northern,HUMAN TRAFFICKING – SEX ACT,6,,,,,,
2017,Northern,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Northern,BURGLARY,712,,,,,,
2017,Northern,MOTOR VEHICLE THEFT,592,,,,,,
2017,Northern,ARSON,22,,,,,,
2017,Northern,LARCENY THEFT,"8,911",,,,,,
2017,Park,HOMICIDE,2,,,,,,
2017,Park,RAPE,15,,,,,,
2017,Park,ROBBERY,87,,,,,,
2017,Park,ASSAULT,100,,,,,,
2017,Park,HUMAN TRAFFICKING – SEX ACT,1,,,,,,
2017,Park,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Park,BURGLARY,366,,,,,,
2017,Park,MOTOR VEHICLE THEFT,335,,,,,,
2017,Park,ARSON,8,,,,,,
2017,Park,LARCENY THEFT,"2,241",,,,,,
2017,Richmond,HOMICIDE,1,,,,,,
2017,Richmond,RAPE,18,,,,,,
2017,Richmond,ROBBERY,114,,,,,,
2017,Richmond,ASSAULT,69,,,,,,
2017,Richmond,HUMAN TRAFFICKING – SEX ACT,1,,,,,,
2017,Richmond,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Richmond,BURGLARY,355,,,,,,
2017,Richmond,MOTOR VEHICLE THEFT,331,,,,,,
2017,Richmond,ARSON,10,,,,,,
2017,Richmond,LARCENY THEFT,"3,794",,,,,,
2017,Southern,HOMICIDE,3,,,,,,
2017,Southern,RAPE,69,,,,,,
2017,Southern,ROBBERY,304,,,,,,
2017,Southern,ASSAULT,288,,,,,,
2017,Southern,HUMAN TRAFFICKING – SEX ACT,5,,,,,,
2017,Southern,HUMAN TRAFFICKING – INV SERV,1,,,,,,
2017,Southern,BURGLARY,684,,,,,,
2017,Southern,MOTOR VEHICLE THEFT,548,,,,,,
2017,Southern,ARSON,28,,,,,,
2017,Southern,LARCENY THEFT,"7,672",,,,,,
2017,Taraval,HOMICIDE,3,,,,,,
2017,Taraval,RAPE,29,,,,,,
2017,Taraval,ROBBERY,174,,,,,,
2017,Taraval,ASSAULT,142,,,,,,
2017,Taraval,HUMAN TRAFFICKING – SEX ACT,2,,,,,,
2017,Taraval,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2017,Taraval,BURGLARY,515,,,,,,
2017,Taraval,MOTOR VEHICLE THEFT,414,,,,,,
2017,Taraval,ARSON,24,,,,,,
